timestamp,car_id,est_x,est_y,source
8.0,1,30.0,202.5,start
12.5,1,30.0,142.5,inner
26.9,1,132.5,127.5,inner
50.6,1,127.5,0.0,inner
70.5,1,30.0,40.0,inner
83.4,1,30.0,142.5,inner
93.2,1,30.0,202.5,end
11.9,2,35.0,-200.0,start
13.9,2,35.0,-150.0,inner
29.2,2,30.0,-50.0,inner
42.4,2,-12.5,2.5,inner
50.4,2,-87.5,0.0,inner
63.2,2,-125.0,-45.0,inner
85.8,2,-12.5,-90.0,inner
101.2,2,35.0,-150.0,inner
109.5,2,35.0,-200.0,end
39.5,3,35.0,-200.0,start
41.5,3,35.0,-150.0,inner
56.5,3,30.0,-50.0,inner
83.8,3,-12.5,87.5,inner
96.2,3,-75.0,145.0,inner
113.6,3,-87.5,87.5,inner
127.8,3,-12.5,87.5,inner
138.6,3,30.0,142.5,inner
147.7,3,30.0,202.5,end
